region;distance;urban;year;amount
Stockholms län;400;inom tätort;2014;1927193
Stockholms län;400;inom tätort;2015;1958681
Stockholms län;400;inom tätort;2016;1988588
Stockholms län;400;inom tätort;2017;2016888
Stockholms län;400;inom tätort;2018;2067802
Stockholms län;400;inom tätort;2019;2098297
Stockholms län;400;inom tätort;2020;2105484
Stockholms län;400;utanför tätort;2014;18658
Stockholms län;400;utanför tätort;2015;18495
Stockholms län;400;utanför tätort;2016;20835
Stockholms län;400;utanför tätort;2017;25127
Stockholms län;400;utanför tätort;2018;23469
Stockholms län;400;utanför tätort;2019;26218
Stockholms län;400;utanför tätort;2020;23408
Stockholms län;500;inom tätort;2014;2023372
Stockholms län;500;inom tätort;2015;2054717
Stockholms län;500;inom tätort;2016;2085526
Stockholms län;500;inom tätort;2017;2116139
Stockholms län;500;inom tätort;2018;2169806
Stockholms län;500;inom tätort;2019;2201038
Stockholms län;500;inom tätort;2020;2211202
Stockholms län;500;utanför tätort;2014;22425
Stockholms län;500;utanför tätort;2015;22307
Stockholms län;500;utanför tätort;2016;24998
Stockholms län;500;utanför tätort;2017;30074
Stockholms län;500;utanför tätort;2018;28221
Stockholms län;500;utanför tätort;2019;31361
Stockholms län;500;utanför tätort;2020;27880
Stockholms län;1000;inom tätort;2014;2104849
Stockholms län;1000;inom tätort;2015;2136440
Stockholms län;1000;inom tätort;2016;2169667
Stockholms län;1000;inom tätort;2017;2202238
Stockholms län;1000;inom tätort;2018;2255734
Stockholms län;1000;inom tätort;2019;2287790
Stockholms län;1000;inom tätort;2020;2303281
Stockholms län;1000;utanför tätort;2014;36343
Stockholms län;1000;utanför tätort;2015;36270
Stockholms län;1000;utanför tätort;2016;39884
Stockholms län;1000;utanför tätort;2017;46134
Stockholms län;1000;utanför tätort;2018;44291
Stockholms län;1000;utanför tätort;2019;48792
Stockholms län;1000;utanför tätort;2020;44083
Stockholms län;2000;inom tätort;2014;2115697
Stockholms län;2000;inom tätort;2015;2147599
Stockholms län;2000;inom tätort;2016;2180705
Stockholms län;2000;inom tätort;2017;2213399
Stockholms län;2000;inom tätort;2018;2266689
Stockholms län;2000;inom tätort;2019;2297545
Stockholms län;2000;inom tätort;2020;2314001
Stockholms län;2000;utanför tätort;2014;52836
Stockholms län;2000;utanför tätort;2015;53517
Stockholms län;2000;utanför tätort;2016;57490
Stockholms län;2000;utanför tätort;2017;63638
Stockholms län;2000;utanför tätort;2018;61017
Stockholms län;2000;utanför tätort;2019;65013
Stockholms län;2000;utanför tätort;2020;60566
Uppsala län;400;inom tätort;2014;252958
Uppsala län;400;inom tätort;2015;254896
Uppsala län;400;inom tätort;2016;259814
Uppsala län;400;inom tätort;2017;264724
Uppsala län;400;inom tätort;2018;275402
Uppsala län;400;inom tätort;2019;279269
Uppsala län;400;inom tätort;2020;284644
Uppsala län;400;utanför tätort;2014;14035
Uppsala län;400;utanför tätort;2015;14227
Uppsala län;400;utanför tätort;2016;14881
Uppsala län;400;utanför tätort;2017;15109
Uppsala län;400;utanför tätort;2018;16138
Uppsala län;400;utanför tätort;2019;17347
Uppsala län;400;utanför tätort;2020;16361
Uppsala län;500;inom tätort;2014;264830
Uppsala län;500;inom tätort;2015;267279
Uppsala län;500;inom tätort;2016;272476
Uppsala län;500;inom tätort;2017;277615
Uppsala län;500;inom tätort;2018;289739
Uppsala län;500;inom tätort;2019;294929
Uppsala län;500;inom tätort;2020;300244
Uppsala län;500;utanför tätort;2014;16602
Uppsala län;500;utanför tätort;2015;16858
Uppsala län;500;utanför tätort;2016;17791
Uppsala län;500;utanför tätort;2017;18205
Uppsala län;500;utanför tätort;2018;19142
Uppsala län;500;utanför tätort;2019;20518
Uppsala län;500;utanför tätort;2020;19465
Uppsala län;1000;inom tätort;2014;279972
Uppsala län;1000;inom tätort;2015;283666
Uppsala län;1000;inom tätort;2016;289388
Uppsala län;1000;inom tätort;2017;294921
Uppsala län;1000;inom tätort;2018;306097
Uppsala län;1000;inom tätort;2019;311808
Uppsala län;1000;inom tätort;2020;316681
Uppsala län;1000;utanför tätort;2014;26811
Uppsala län;1000;utanför tätort;2015;26971
Uppsala län;1000;utanför tätort;2016;28588
Uppsala län;1000;utanför tätort;2017;29510
Uppsala län;1000;utanför tätort;2018;30643
Uppsala län;1000;utanför tätort;2019;32074
Uppsala län;1000;utanför tätort;2020;31061
Uppsala län;2000;inom tätort;2014;282149
Uppsala län;2000;inom tätort;2015;286461
Uppsala län;2000;inom tätort;2016;292260
Uppsala län;2000;inom tätort;2017;297786
Uppsala län;2000;inom tätort;2018;309363
Uppsala län;2000;inom tätort;2019;315140
Uppsala län;2000;inom tätort;2020;320174
Uppsala län;2000;utanför tätort;2014;40687
Uppsala län;2000;utanför tätort;2015;41172
Uppsala län;2000;utanför tätort;2016;42735
Uppsala län;2000;utanför tätort;2017;44145
Uppsala län;2000;utanför tätort;2018;45123
Uppsala län;2000;utanför tätort;2019;46929
Uppsala län;2000;utanför tätort;2020;46091
Södermanlands län;400;inom tätort;2014;199941
Södermanlands län;400;inom tätort;2015;203087
Södermanlands län;400;inom tätort;2016;205050
Södermanlands län;400;inom tätort;2017;207674
Södermanlands län;400;inom tätort;2018;213926
Södermanlands län;400;inom tätort;2019;215845
Södermanlands län;400;inom tätort;2020;215888
Södermanlands län;400;utanför tätort;2014;7972
Södermanlands län;400;utanför tätort;2015;8380
Södermanlands län;400;utanför tätort;2016;8454
Södermanlands län;400;utanför tätort;2017;8691
Södermanlands län;400;utanför tätort;2018;9527
Södermanlands län;400;utanför tätort;2019;9595
Södermanlands län;400;utanför tätort;2020;9751
Södermanlands län;500;inom tätort;2014;214134
Södermanlands län;500;inom tätort;2015;217101
Södermanlands län;500;inom tätort;2016;219375
Södermanlands län;500;inom tätort;2017;222218
Södermanlands län;500;inom tätort;2018;227897
Södermanlands län;500;inom tätort;2019;229670
Södermanlands län;500;inom tätort;2020;230027
Södermanlands län;500;utanför tätort;2014;9595
