region;type;year;amount
Stockholms län;flerbostadshus;1975;9034
Stockholms län;flerbostadshus;1976;4202
Stockholms län;flerbostadshus;1977;2661
Stockholms län;flerbostadshus;1978;2202
Stockholms län;flerbostadshus;1979;3172
Stockholms län;flerbostadshus;1980;3082
Stockholms län;flerbostadshus;1981;3909
Stockholms län;flerbostadshus;1982;4549
Stockholms län;flerbostadshus;1983;6345
Stockholms län;flerbostadshus;1984;5307
Stockholms län;flerbostadshus;1985;6735
Stockholms län;flerbostadshus;1986;5444
Stockholms län;flerbostadshus;1987;4546
Stockholms län;flerbostadshus;1988;4829
Stockholms län;flerbostadshus;1989;6302
Stockholms län;flerbostadshus;1990;6244
Stockholms län;flerbostadshus;1991;6572
Stockholms län;flerbostadshus;1992;6284
Stockholms län;flerbostadshus;1993;6268
Stockholms län;flerbostadshus;1994;4124
Stockholms län;flerbostadshus;1995;1913
Stockholms län;flerbostadshus;1996;2177
Stockholms län;flerbostadshus;1997;2517
Stockholms län;flerbostadshus;1998;2049
Stockholms län;flerbostadshus;1999;2389
Stockholms län;flerbostadshus;2000;2497
Stockholms län;flerbostadshus;2001;2205
Stockholms län;flerbostadshus;2002;5086
Stockholms län;flerbostadshus;2003;4659
Stockholms län;flerbostadshus;2004;5169
Stockholms län;flerbostadshus;2005;4044
Stockholms län;flerbostadshus;2006;7063
Stockholms län;flerbostadshus;2007;6818
Stockholms län;flerbostadshus;2008;7640
Stockholms län;flerbostadshus;2009;7094
Stockholms län;flerbostadshus;2010;4705
Stockholms län;flerbostadshus;2011;5698
Stockholms län;flerbostadshus;2012;6076
Stockholms län;flerbostadshus;2013;7731
Stockholms län;flerbostadshus;2014;6794
Stockholms län;flerbostadshus;2015;9907
Stockholms län;flerbostadshus;2016;11360
Stockholms län;flerbostadshus;2017;12584
Stockholms län;flerbostadshus;2018;12880
Stockholms län;flerbostadshus;2019;13512
Stockholms län;flerbostadshus;2020;10979
Stockholms län;flerbostadshus;2021;12249
Stockholms län;småhus;1975;6380
Stockholms län;småhus;1976;5579
Stockholms län;småhus;1977;4741
Stockholms län;småhus;1978;4553
Stockholms län;småhus;1979;4129
Stockholms län;småhus;1980;3481
Stockholms län;småhus;1981;4148
Stockholms län;småhus;1982;2678
Stockholms län;småhus;1983;4034
Stockholms län;småhus;1984;3549
Stockholms län;småhus;1985;2804
Stockholms län;småhus;1986;2164
Stockholms län;småhus;1987;2403
Stockholms län;småhus;1988;2490
Stockholms län;småhus;1989;2816
Stockholms län;småhus;1990;2841
Stockholms län;småhus;1991;3333
Stockholms län;småhus;1992;2490
Stockholms län;småhus;1993;1704
Stockholms län;småhus;1994;1518
Stockholms län;småhus;1995;1107
Stockholms län;småhus;1996;1205
Stockholms län;småhus;1997;1268
Stockholms län;småhus;1998;1498
Stockholms län;småhus;1999;1754
Stockholms län;småhus;2000;1935
Stockholms län;småhus;2001;2735
Stockholms län;småhus;2002;2323
Stockholms län;småhus;2003;1874
Stockholms län;småhus;2004;2000
Stockholms län;småhus;2005;1885
Stockholms län;småhus;2006;1908
Stockholms län;småhus;2007;2043
Stockholms län;småhus;2008;2681
Stockholms län;småhus;2009;1407
Stockholms län;småhus;2010;1738
Stockholms län;småhus;2011;1556
Stockholms län;småhus;2012;1385
Stockholms län;småhus;2013;2013
Stockholms län;småhus;2014;2256
Stockholms län;småhus;2015;2445
Stockholms län;småhus;2016;2559
Stockholms län;småhus;2017;2711
Stockholms län;småhus;2018;2296
Stockholms län;småhus;2019;1552
Stockholms län;småhus;2020;2157
Stockholms län;småhus;2021;2037
Uppsala län;flerbostadshus;1975;642
Uppsala län;flerbostadshus;1976;496
Uppsala län;flerbostadshus;1977;563
Uppsala län;flerbostadshus;1978;405
Uppsala län;flerbostadshus;1979;285
Uppsala län;flerbostadshus;1980;879
Uppsala län;flerbostadshus;1981;1092
Uppsala län;flerbostadshus;1982;669
Uppsala län;flerbostadshus;1983;923
Uppsala län;flerbostadshus;1984;871
Uppsala län;flerbostadshus;1985;980
Uppsala län;flerbostadshus;1986;554
Uppsala län;flerbostadshus;1987;241
Uppsala län;flerbostadshus;1988;896
Uppsala län;flerbostadshus;1989;945
Uppsala län;flerbostadshus;1990;1209
Uppsala län;flerbostadshus;1991;1314
Uppsala län;flerbostadshus;1992;1369
Uppsala län;flerbostadshus;1993;1796
Uppsala län;flerbostadshus;1994;550
Uppsala län;flerbostadshus;1995;237
Uppsala län;flerbostadshus;1996;181
Uppsala län;flerbostadshus;1997;274
Uppsala län;flerbostadshus;1998;150
Uppsala län;flerbostadshus;1999;100
Uppsala län;flerbostadshus;2000;240
Uppsala län;flerbostadshus;2001;460
Uppsala län;flerbostadshus;2002;551
Uppsala län;flerbostadshus;2003;697
Uppsala län;flerbostadshus;2004;597
Uppsala län;flerbostadshus;2005;675
Uppsala län;flerbostadshus;2006;1119
Uppsala län;flerbostadshus;2007;1544
Uppsala län;flerbostadshus;2008;583
Uppsala län;flerbostadshus;2009;1550
Uppsala län;flerbostadshus;2010;541
Uppsala län;flerbostadshus;2011;1021
Uppsala län;flerbostadshus;2012;370
Uppsala län;flerbostadshus;2013;1398
Uppsala län;flerbostadshus;2014;1151
Uppsala län;flerbostadshus;2015;1433
Uppsala län;flerbostadshus;2016;1499
Uppsala län;flerbostadshus;2017;1904
Uppsala län;flerbostadshus;2018;2904
Uppsala län;flerbostadshus;2019;3382
Uppsala län;flerbostadshus;2020;2809
