region;distance;stock;year;amount
Stockholms län;400;samtliga bostäder;2014;913182
Stockholms län;400;samtliga bostäder;2015;925629
Stockholms län;400;samtliga bostäder;2016;938105
Stockholms län;400;samtliga bostäder;2017;955650
Stockholms län;400;samtliga bostäder;2018;979075
Stockholms län;400;samtliga bostäder;2019;995945
Stockholms län;400;samtliga bostäder;2020;1005803
Stockholms län;400;nytillkomna bostäder;2014;8662
Stockholms län;400;nytillkomna bostäder;2015;11733
Stockholms län;400;nytillkomna bostäder;2016;12155
Stockholms län;400;nytillkomna bostäder;2017;13059
Stockholms län;400;nytillkomna bostäder;2018;14355
Stockholms län;400;nytillkomna bostäder;2019;14210
Stockholms län;400;nytillkomna bostäder;2020;11227
Stockholms län;500;samtliga bostäder;2014;951652
Stockholms län;500;samtliga bostäder;2015;963871
Stockholms län;500;samtliga bostäder;2016;977020
Stockholms län;500;samtliga bostäder;2017;995829
Stockholms län;500;samtliga bostäder;2018;1019942
Stockholms län;500;samtliga bostäder;2019;1037293
Stockholms län;500;samtliga bostäder;2020;1047953
Stockholms län;500;nytillkomna bostäder;2014;9100
Stockholms län;500;nytillkomna bostäder;2015;12085
Stockholms län;500;nytillkomna bostäder;2016;13000
Stockholms län;500;nytillkomna bostäder;2017;13696
Stockholms län;500;nytillkomna bostäder;2018;15334
Stockholms län;500;nytillkomna bostäder;2019;14956
Stockholms län;500;nytillkomna bostäder;2020;11713
Stockholms län;1000;samtliga bostäder;2014;986195
Stockholms län;1000;samtliga bostäder;2015;998473
Stockholms län;1000;samtliga bostäder;2016;1012303
Stockholms län;1000;samtliga bostäder;2017;1031894
Stockholms län;1000;samtliga bostäder;2018;1056601
Stockholms län;1000;samtliga bostäder;2019;1074722
Stockholms län;1000;samtliga bostäder;2020;1086291
Stockholms län;1000;nytillkomna bostäder;2014;9441
Stockholms län;1000;nytillkomna bostäder;2015;12638
Stockholms län;1000;nytillkomna bostäder;2016;13667
Stockholms län;1000;nytillkomna bostäder;2017;14209
Stockholms län;1000;nytillkomna bostäder;2018;15925
Stockholms län;1000;nytillkomna bostäder;2019;15485
Stockholms län;1000;nytillkomna bostäder;2020;12211
Stockholms län;2000;samtliga bostäder;2014;997555
Stockholms län;2000;samtliga bostäder;2015;1010065
Stockholms län;2000;samtliga bostäder;2016;1023822
Stockholms län;2000;samtliga bostäder;2017;1043485
Stockholms län;2000;samtliga bostäder;2018;1067639
Stockholms län;2000;samtliga bostäder;2019;1085258
Stockholms län;2000;samtliga bostäder;2020;1097331
Stockholms län;2000;nytillkomna bostäder;2014;9554
Stockholms län;2000;nytillkomna bostäder;2015;12797
Stockholms län;2000;nytillkomna bostäder;2016;13750
Stockholms län;2000;nytillkomna bostäder;2017;14285
Stockholms län;2000;nytillkomna bostäder;2018;16020
Stockholms län;2000;nytillkomna bostäder;2019;15523
Stockholms län;2000;nytillkomna bostäder;2020;12327
Uppsala län;400;samtliga bostäder;2014;132918
Uppsala län;400;samtliga bostäder;2015;134329
Uppsala län;400;samtliga bostäder;2016;136592
Uppsala län;400;samtliga bostäder;2017;140063
Uppsala län;400;samtliga bostäder;2018;145828
Uppsala län;400;samtliga bostäder;2019;148086
Uppsala län;400;samtliga bostäder;2020;151422
Uppsala län;400;nytillkomna bostäder;2014;1055
Uppsala län;400;nytillkomna bostäder;2015;2196
Uppsala län;400;nytillkomna bostäder;2016;2180
Uppsala län;400;nytillkomna bostäder;2017;2948
Uppsala län;400;nytillkomna bostäder;2018;3422
Uppsala län;400;nytillkomna bostäder;2019;2853
Uppsala län;400;nytillkomna bostäder;2020;1593
Uppsala län;500;samtliga bostäder;2014;138729
Uppsala län;500;samtliga bostäder;2015;140350
Uppsala län;500;samtliga bostäder;2016;142826
Uppsala län;500;samtliga bostäder;2017;146545
Uppsala län;500;samtliga bostäder;2018;152881
Uppsala län;500;samtliga bostäder;2019;156016
Uppsala län;500;samtliga bostäder;2020;159090
Uppsala län;500;nytillkomna bostäder;2014;1183
Uppsala län;500;nytillkomna bostäder;2015;2336
Uppsala län;500;nytillkomna bostäder;2016;2342
Uppsala län;500;nytillkomna bostäder;2017;3157
Uppsala län;500;nytillkomna bostäder;2018;3937
Uppsala län;500;nytillkomna bostäder;2019;3084
Uppsala län;500;nytillkomna bostäder;2020;1722
Uppsala län;1000;samtliga bostäder;2014;148492
Uppsala län;1000;samtliga bostäder;2015;150612
Uppsala län;1000;samtliga bostäder;2016;153235
Uppsala län;1000;samtliga bostäder;2017;157184
Uppsala län;1000;samtliga bostäder;2018;163179
Uppsala län;1000;samtliga bostäder;2019;166563
Uppsala län;1000;samtliga bostäder;2020;169455
Uppsala län;1000;nytillkomna bostäder;2014;1296
Uppsala län;1000;nytillkomna bostäder;2015;2523
Uppsala län;1000;nytillkomna bostäder;2016;2469
Uppsala län;1000;nytillkomna bostäder;2017;3302
Uppsala län;1000;nytillkomna bostäder;2018;4000
Uppsala län;1000;nytillkomna bostäder;2019;3129
Uppsala län;1000;nytillkomna bostäder;2020;1803
Uppsala län;2000;samtliga bostäder;2014;154794
Uppsala län;2000;samtliga bostäder;2015;157293
Uppsala län;2000;samtliga bostäder;2016;159842
Uppsala län;2000;samtliga bostäder;2017;163934
Uppsala län;2000;samtliga bostäder;2018;169891
Uppsala län;2000;samtliga bostäder;2019;173450
Uppsala län;2000;samtliga bostäder;2020;176461
Uppsala län;2000;nytillkomna bostäder;2014;1347
Uppsala län;2000;nytillkomna bostäder;2015;2587
Uppsala län;2000;nytillkomna bostäder;2016;2523
Uppsala län;2000;nytillkomna bostäder;2017;3338
Uppsala län;2000;nytillkomna bostäder;2018;4093
Uppsala län;2000;nytillkomna bostäder;2019;3201
Uppsala län;2000;nytillkomna bostäder;2020;1837
Södermanlands län;400;samtliga bostäder;2014;103605
Södermanlands län;400;samtliga bostäder;2015;104766
Södermanlands län;400;samtliga bostäder;2016;104867
Södermanlands län;400;samtliga bostäder;2017;105966
Södermanlands län;400;samtliga bostäder;2018;109574
Södermanlands län;400;samtliga bostäder;2019;111239
Södermanlands län;400;samtliga bostäder;2020;112313
Södermanlands län;400;nytillkomna bostäder;2014;376
Södermanlands län;400;nytillkomna bostäder;2015;700
Södermanlands län;400;nytillkomna bostäder;2016;507
Södermanlands län;400;nytillkomna bostäder;2017;314
Södermanlands län;400;nytillkomna bostäder;2018;1385
Södermanlands län;400;nytillkomna bostäder;2019;1215
Södermanlands län;400;nytillkomna bostäder;2020;1544
Södermanlands län;500;samtliga bostäder;2014;110522
Södermanlands län;500;samtliga bostäder;2015;111472
Södermanlands län;500;samtliga bostäder;2016;111572
Södermanlands län;500;samtliga bostäder;2017;112747
Södermanlands län;500;samtliga bostäder;2018;115828
Södermanlands län;500;samtliga bostäder;2019;117433
Södermanlands län;500;samtliga bostäder;2020;118702
Södermanlands län;500;nytillkomna bostäder;2014;539
Södermanlands län;500;nytillkomna bostäder;2015;739
Södermanlands län;500;nytillkomna bostäder;2016;564
Södermanlands län;500;nytillkomna bostäder;2017;383
Södermanlands län;500;nytillkomna bostäder;2018;1460
Södermanlands län;500;nytillkomna bostäder;2019;1224
Södermanlands län;500;nytillkomna bostäder;2020;1595
Södermanlands län;1000;samtliga bostäder;2014;120166
Södermanlands län;1000;samtliga bostäder;2015;121018
Södermanlands län;1000;samtliga bostäder;2016;121374
Södermanlands län;1000;samtliga bostäder;2017;122231
Södermanlands län;1000;samtliga bostäder;2018;124822
Södermanlands län;1000;samtliga bostäder;2019;126492
Södermanlands län;1000;samtliga bostäder;2020;128230
Södermanlands län;1000;nytillkomna bostäder;2014;574
Södermanlands län;1000;nytillkomna bostäder;2015;767
Södermanlands län;1000;nytillkomna bostäder;2016;656
Södermanlands län;1000;nytillkomna bostäder;2017;468
Södermanlands län;1000;nytillkomna bostäder;2018;1611
Södermanlands län;1000;nytillkomna bostäder;2019;1284
Södermanlands län;1000;nytillkomna bostäder;2020;1637
Södermanlands län;2000;samtliga bostäder;2014;125688
Södermanlands län;2000;samtliga bostäder;2015;126550
Södermanlands län;2000;samtliga bostäder;2016;127180
Södermanlands län;2000;samtliga bostäder;2017;128022
Södermanlands län;2000;samtliga bostäder;2018;130625
Södermanlands län;2000;samtliga bostäder;2019;132364
Södermanlands län;2000;samtliga bostäder;2020;134008
Södermanlands län;2000;nytillkomna bostäder;2014;603
Södermanlands län;2000;nytillkomna bostäder;2015;789
Södermanlands län;2000;nytillkomna bostäder;2016;685
Södermanlands län;2000;nytillkomna bostäder;2017;487
Södermanlands län;2000;nytillkomna bostäder;2018;1625
Södermanlands län;2000;nytillkomna bostäder;2019;1315
Södermanlands län;2000;nytillkomna bostäder;2020;1659
Östergötlands län;400;samtliga bostäder;2014;167196
Östergötlands län;400;samtliga bostäder;2015;168750
Östergötlands län;400;samtliga bostäder;2016;170321
Östergötlands län;400;samtliga bostäder;2017;174176
Östergötlands län;400;samtliga bostäder;2018;180254
Östergötlands län;400;samtliga bostäder;2019;181727
Östergötlands län;400;samtliga bostäder;2020;181905
Östergötlands län;400;nytillkomna bostäder;2014;860
Östergötlands län;400;nytillkomna bostäder;2015;1282
Östergötlands län;400;nytillkomna bostäder;2016;1799
Östergötlands län;400;nytillkomna bostäder;2017;2609
Östergötlands län;400;nytillkomna bostäder;2018;2277
Östergötlands län;400;nytillkomna bostäder;2019;1684
Östergötlands län;400;nytillkomna bostäder;2020;1641
Östergötlands län;500;samtliga bostäder;2014;176614
Östergötlands län;500;samtliga bostäder;2015;178411
Östergötlands län;500;samtliga bostäder;2016;179861
Östergötlands län;500;samtliga bostäder;2017;183909
Östergötlands län;500;samtliga bostäder;2018;189613
Östergötlands län;500;samtliga bostäder;2019;191442
Östergötlands län;500;samtliga bostäder;2020;192282
Östergötlands län;500;nytillkomna bostäder;2014;1012
Östergötlands län;500;nytillkomna bostäder;2015;1415
Östergötlands län;500;nytillkomna bostäder;2016;1846
Östergötlands län;500;nytillkomna bostäder;2017;2850
Östergötlands län;500;nytillkomna bostäder;2018;2425
Östergötlands län;500;nytillkomna bostäder;2019;1718
Östergötlands län;500;nytillkomna bostäder;2020;1841
Östergötlands län;1000;samtliga bostäder;2014;191516
Östergötlands län;1000;samtliga bostäder;2015;193215
Östergötlands län;1000;samtliga bostäder;2016;194437
Östergötlands län;1000;samtliga bostäder;2017;198756
Östergötlands län;1000;samtliga bostäder;2018;204089
Östergötlands län;1000;samtliga bostäder;2019;206093
